"Success Criterion","Level","Description (Layman)","Instructions for Product Owners","Simple Example"
"1.1.1 Non-text Content","A","All images, icons, and non-text content must have a text alternative.","Add alt text to images, icons, and buttons. Use descriptive text for decorative images if they convey meaning.","An image of a cat has alt=""Gray tabby cat sleeping on a windowsill."""
"1.2.1 Audio-only and Video-only (Pre-recorded)","A","Audio-only and video-only content must have a text alternative.","Provide a transcript for audio-only, and a description for video-only content.","A podcast episode has a text transcript below the audio player."
"1.2.2 Captions (Pre-recorded)","A","Videos with spoken content must have captions.","Add synchronized captions to all videos with audio.","A lecture video has captions at the bottom."
"1.2.3 Audio Description or Media Alternative (Pre-recorded)","A","Videos with important visual information not in the audio must have an audio description or text alternative.","Provide an audio description track or a text alternative for visual-only information in videos.","A video of a science experiment includes an audio track describing the steps."
"1.2.4 Captions (Live)","AA","Live videos with audio must have captions.","Provide live captions for live-streamed events.","A live news broadcast has real-time captions."
"1.2.5 Audio Description (Pre-recorded)","AA","Pre-recorded videos with important visual information must have an audio description.","Provide an audio description track for videos with visual-only content.","A video tutorial includes an audio description of what’s happening on screen."
"1.3.1 Info and Relationships","A","Headings, lists, and form fields must be marked up so their structure is clear to assistive technology.","Use proper HTML tags for headings, lists, and form fields.","Use<h1>for main headings and<label>for form fields."
"1.3.2 Meaningful Sequence","A","Content must be presented in a logical order that makes sense when read aloud.","Arrange content so it flows logically, even when read by a screen reader.","A news article has the headline first, followed by the body text."
"1.3.3 Sensory Characteristics","A","Instructions must not rely solely on shape, size, or location.","Include text descriptions for instructions, not just ""click the button on the left.""","""Click the 'Submit' button at the bottom of the form."""
"1.3.4 Orientation","AA","Content must work in both portrait and landscape modes unless essential.","Avoid locking screen orientation; let users rotate their device.","A form can be filled out in both portrait and landscape on a mobile device."
"1.3.5 Identify Input Purpose","AA","Form fields must be identified so assistive technology knows what to expect.","Useautocompleteandaria-labelfor form fields.","A ""Name"" field usesautocomplete=""name""."
"1.4.1 Use of Color","A","Color must not be the only way to convey information.","Use text or icons in addition to color to indicate status.","""Required fields are marked with an asterisk and the word 'Required.'"""
"1.4.2 Audio Control","A","Users must be able to pause or stop audio that plays automatically for more than 3 seconds.","Provide a pause/stop button for any auto-playing audio.","A background music track has a visible stop button."
"1.4.3 Contrast (Minimum)","AA","Text must have sufficient contrast with its background.","Use a contrast ratio of at least 4.5:1 for normal text.","Black text on white background."
